site_code,region_name,region_lat_name,region_code_label,avg_site_lat,sst20_summer_mean_c,sst20_summer_sd_c,sst21_summer_mean_c,sst21_summer_sd_c,sst22_summer_mean_c,sst22_summer_sd_c,sst23_summer_mean_c,sst23_summer_sd_c,sst24_summer_mean_c,sst24_summer_sd_c,region_code,region_name_label,samples,sites,mean_5yr_site
IC_OPB,BC_IC,6,"Inner Coast, British Columbia",50.137183125,17.416006088256836,0.9488421082496643,16.7908935546875,1.2229944467544556,15.758381843566895,2.7742443084716797,15.536763191223145,1.621778130531311,15.536763191223145,1.621778130531311,BC_IC,"Inner Coast, British Columbia",107,5,16.207761573791505
IC_MAB,BC_IC,6,"Inner Coast, British Columbia",50.1178255,17.3343505859375,0.9307096004486084,16.72652244567871,1.2171980142593384,15.698506355285645,2.757455348968506,15.48176097869873,1.6228506565093994,15.48176097869873,1.6228506565093994,BC_IC,"Inner Coast, British Columbia",107,5,16.144580268859862
IC_SHS,BC_IC,6,"Inner Coast, British Columbia",50.091105,17.62469482421875,0.9759708046913147,17.21584129333496,1.3346067667007446,16.448944091796875,2.88230562210083,16.411020278930664,1.5705318450927734,16.411020278930664,1.5705318450927734,BC_IC,"Inner Coast, British Columbia",107,5,16.82230415344238
IC_GOW,BC_IC,6,"Inner Coast, British Columbia",50.08008675,17.25942039489746,0.904766857624054,16.712575912475586,1.2179573774337769,15.762349128723145,2.7534494400024414,15.613037109375,1.6088502407073975,15.613037109375,1.6088502407073975,BC_IC,"Inner Coast, British Columbia",107,5,16.19208393096924
IC_SMB,BC_IC,6,"Inner Coast, British Columbia",50.035924,17.58925437927246,0.9713045954704285,17.357126235961914,1.3995085954666138,16.66339111328125,2.919997215270996,16.701913833618164,1.5442709922790527,16.701913833618164,1.5442709922790527,BC_IC,"Inner Coast, British Columbia",107,5,17.00271987915039
PP_EB,BC_PP,7,"Pacific Rim Park, British Columbia",49.195217,13.84881591796875,0.7531168460845947,14.11772632598877,0.6807791590690613,14.312825202941895,1.9274816513061523,13.882293701171875,1.7878551483154297,13.882293701171875,1.7878551483154297,BC_PP,"Pacific Rim Park, British Columbia",129,13,14.008790969848633
PP_S,BC_PP,7,"Pacific Rim Park, British Columbia",49.19295,13.89264965057373,0.7235583066940308,14.183380126953125,0.6891660690307617,14.40392017364502,1.9535810947418213,13.988739013671875,1.7275023460388184,13.988739013671875,1.7275023460388184,BC_PP,"Pacific Rim Park, British Columbia",129,13,14.091485595703125
PP_M,BC_PP,7,"Pacific Rim Park, British Columbia",49.1844,13.857462882995605,0.7268664836883545,14.15715503692627,0.6822484731674194,14.377665519714355,1.9468387365341187,13.954548835754395,1.7460942268371582,13.954548835754395,1.7460942268371582,BC_PP,"Pacific Rim Park, British Columbia",129,13,14.060276222229003
PP_O,BC_PP,7,"Pacific Rim Park, British Columbia",49.171917,13.809123039245605,0.7346296310424805,14.115142822265625,0.6735199689865112,14.330718994140625,1.9338873624801636,13.894267082214355,1.7816458940505981,13.894267082214355,1.7816458940505981,BC_PP,"Pacific Rim Park, British Columbia",129,13,14.008703804016113
PP_MI,BC_PP,7,"Pacific Rim Park, British Columbia",49.1213,13.815754045810003,0.7536060076063777,14.157013512372748,0.6699586946381066,14.382563501624382,1.922979215873997,13.972534544353968,1.7630659860210545,13.972534544353968,1.7630659860210545,BC_PP,"Pacific Rim Park, British Columbia",129,13,14.060080029703014
PP_K,BC_PP,7,"Pacific Rim Park, British Columbia",49.104117,13.819254875183105,0.6790710687637329,14.21717357635498,0.653001606464386,14.486247062683105,1.954162836074829,14.056477546691895,1.692184567451477,14.056477546691895,1.692184567451477,BC_PP,"Pacific Rim Park, British Columbia",129,13,14.127126121520996
