motu,motu_swarm,asv,curated,lulu_rank,found_taxa,common_name,rank,identity_percentage,evalue,kingdom,phylum,class,order,family,genus,freshwater_only,biogeographical_notes,group,fish_base_url,n_dups,remove
motu57,motu57,ASV1713,parent,56,Brachyistius frenatus,Kelp perch,species,100,7.31e-85,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Brachyistius,0,south to northern BC,Perches,https://www.fishbase.ca/summary/3625,1,NA
motu57,motu57,ASV1822,parent,56,Brachyistius frenatus,Kelp perch,species,100,7.31e-85,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Brachyistius,0,south to northern BC,Perches,https://www.fishbase.ca/summary/3625,1,NA
motu57,motu57,ASV2120,parent,56,Brachyistius frenatus,Kelp perch,species,100,7.31e-85,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Brachyistius,0,south to northern BC,Perches,https://www.fishbase.ca/summary/3625,1,NA
motu57,motu57,ASV2440,parent,56,Brachyistius frenatus,Kelp perch,species,100,7.31e-85,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Brachyistius,0,south to northern BC,Perches,https://www.fishbase.ca/summary/3625,1,NA
motu57,motu57,ASV2476,parent,56,Brachyistius frenatus,Kelp perch,species,100,7.31e-85,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Brachyistius,0,south to northern BC,Perches,https://www.fishbase.ca/summary/3625,1,NA
motu57,motu57,ASV3276,parent,56,Brachyistius frenatus,Kelp perch,species,100,7.31e-85,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Brachyistius,0,south to northern BC,Perches,https://www.fishbase.ca/summary/3625,1,NA
motu57,motu57,ASV3284,parent,56,Brachyistius frenatus,Kelp perch,species,100,7.31e-85,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Brachyistius,0,south to northern BC,Perches,https://www.fishbase.ca/summary/3625,1,NA
motu260,motu260,ASV631,parent,284,Brachyistius frenatus,Kelp perch,species,98.817,1.58e-81,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Brachyistius,0,south to northern BC,Perches,https://www.fishbase.ca/summary/3625,1,NA
motu768,motu768,ASV2081,parent,789,Brachyistius frenatus,Kelp perch,species,98.225,7.36e-80,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Brachyistius,0,south to northern BC,Perches,https://www.fishbase.ca/summary/3625,1,NA
motu974,motu974,ASV2625,parent,988,Brachyistius frenatus,Kelp perch,species,99.401,4.4e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Brachyistius,0,south to northern BC,Perches,https://www.fishbase.ca/summary/3625,1,NA
