seed_asv,motu,asv,asv_reads
ASV3259,motu1181,ASV4476,64
ASV3259,motu1181,ASV3259,302
ASV3260,motu1182,ASV3260,238
ASV3260,motu1182,ASV3260,238
ASV3262,motu1183,ASV3262,238
ASV3262,motu1183,ASV3262,238
ASV3263,motu1184,ASV3263,238
ASV3263,motu1184,ASV3263,238
ASV3264,motu1185,ASV3264,237
ASV3264,motu1185,ASV3264,237
ASV3267,motu1186,ASV3267,237
ASV3267,motu1186,ASV3267,237
ASV3268,motu1187,ASV3268,236
ASV3268,motu1187,ASV3268,236
ASV3270,motu1188,ASV3270,236
ASV3270,motu1188,ASV3270,236
ASV3273,motu1189,ASV3273,236
ASV3273,motu1189,ASV3273,236
ASV3276,motu1190,ASV3276,235
ASV3276,motu1190,ASV4224,102
ASV3276,motu1190,ASV3276,337
ASV3277,motu1191,ASV3277,235
ASV3277,motu1191,ASV3277,235
