"","sample_id","filtertrim_f","filtertrim_r","dereplicated_f","dereplicated_r","denoised_f","denoised_r","merged","nosingletons","nochimeras","percent_retained_aftermerge","percent_notsingleton","percent_notchimera"
"111","filtered20250425_PECOe-146_S112_R1_001",143446,143446,143446,143446,143368,143167,140021,139505,138641,97.6654483566765,99.6314838488512,99.3806673595928
"112","filtered20250425_PECOe-147_S113_R1_001",190153,190153,190153,190153,190021,189759,187466,187273,176180,98.655411770278,99.897047998037,94.0765620244242
"113","filtered20250425_PECOe-148_S114_R1_001",185534,185534,185534,185534,185380,185193,183011,182930,177158,98.7220843672457,99.9557403653332,96.8446946919587
"114","filtered20250425_PECOe-149_S115_R1_001",204516,204516,204516,204516,204438,204084,201008,200968,181311,98.3222297224586,99.9801002945156,90.2188408104773
"115","filtered20250425_PECOe-150_S116_R1_001",66385,66385,66385,66385,66358,66295,65420,65417,65417,98.5864552879834,99.9954142464078,100
"116","filtered20250425_PECOe-151_S117_R1_001",218195,218195,218195,218195,218093,217440,214415,214183,195488,98.3135634797999,99.8917986148357,91.2714827974209
"117","filtered20250425_PECOe-152_S118_R1_001",160474,160474,160474,160474,160313,160038,157148,156746,152046,98.025737151697,99.7441901901392,97.0015183800543
"118","filtered20250425_PECOe-153_S119_R1_001",230388,230388,230388,230388,230302,228655,224530,224029,142818,97.4937256298252,99.7768672337772,63.7497823942436
"119","filtered20250425_PECOe-154_S120_R1_001",236254,236254,236254,236254,236175,235621,230754,230658,224703,97.7046681486186,99.9583972542188,97.4182555991988
"120","filtered20250425_PECOe-155_S121_R1_001",118101,118101,118101,118101,118076,117955,116230,116230,116230,98.4366001558318,100,100
"121","filtered20250425_PECOe-161_S122_R1_001",224258,224258,224258,224258,224216,223945,221490,221376,221376,98.7842080850608,99.9485304076934,100
"122","filtered20250425_PECOe-163_S124_R1_001",237379,237379,237379,237379,237275,236926,232875,231213,228156,98.1456116320725,99.2863123993559,98.6778425088555
"123","filtered20250425_PECOe-164_S125_R1_001",231806,231806,231806,231806,231652,231323,227280,225879,220660,98.1126862707855,99.3835797254488,97.6894709114172
"124","filtered20250425_PECOe-165_S126_R1_001",225483,225483,225483,225483,225408,225100,220305,220019,215368,97.7361051959114,99.8701799777581,97.8860916557206
