"","sample_id","raw_f","raw_r","cutadapt_f","cutadapt_r","filtertrim_f","filtertrim_r","dereplicated_f","dereplicated_r","denoised_f","denoised_r","merged","nosingletons","nochimeras","percentraw_retainedby_cutadapt","percent_retained_aftermerge","percent_notsingleton","percent_notchimera","percent_retained_of_raw"
"60","PECOe060_S56_L001_R1_001",75263,75263,75225,75225,60091,60091,60091,60091,59855,59687,57739,57739,52718,99.9495103835882,96.4647899089466,100,91.3039713192123,70.0450420525358
"61","PECOe061_S57_L001_R1_001",70668,70668,70638,70638,58611,58611,58611,58611,58546,58431,56556,56556,53210,99.957547970793,96.600963345062,100,94.0837400099017,75.2957491368087
"62","PECOe062_S58_L001_R1_001",72596,72596,72548,72548,61044,61044,61044,61044,60963,60755,59657,59657,57131,99.9338806545815,97.8577169758706,100,95.7657944583201,78.6971733979833
"63","PECOe063_S59_L001_R1_001",63764,63764,63701,63701,51527,51527,51527,51527,51415,51199,50150,50143,47051,99.9011981682454,97.5396285130798,99.9860418743769,93.8336358016074,73.7892854902453
"64","PECOe064_S60_L001_R1_001",72560,72560,72510,72510,57949,57949,57949,57949,57877,57527,55728,55728,52601,99.9310915104741,96.2869533666223,100,94.3888171116853,72.4931091510474
"65","PECOe065_S61_L001_R1_001",150287,150287,150194,150194,126213,126213,126213,126213,126120,125452,119840,119774,108797,99.9381184001277,95.0206152870282,99.9449265687583,90.8352397014377,72.3928217344148
"66","PECOe066_S62_L001_R1_001",72070,72070,71968,71968,57568,57568,57568,57568,57472,57241,56258,56255,43533,99.8584709310393,97.8876670378619,99.9946674250773,77.3851213225491,60.4037741085056
"67","PECOe067_S63_L001_R1_001",1439,1439,1435,1435,1082,1082,1082,1082,1037,1033,982,982,982,99.7220291869354,94.6962391513983,100,100,68.2418346073662
"68","PECOe068_S64_L001_R1_001",31701,31701,31656,31656,25532,25532,25532,25532,25471,25308,24082,24082,21930,99.8580486419987,94.5467394291547,100,91.0638651274811,69.177628465979
"69","PECOe069_S65_L001_R1_001",70601,70601,70419,70419,55760,55760,55760,55760,55519,55478,53684,53684,36738,99.742213283098,96.6948251949783,100,68.4337977795991,52.0360901403663
"70","PECOe070_S66_L001_R1_001",81589,81589,81518,81518,65653,65653,65653,65653,65568,65130,62459,62459,56403,99.9129784652343,95.2583577354807,100,90.3040394498791,69.1306426111363
"71","PECOe071_S67_L001_R1_001",157,157,156,156,31,31,31,31,7,5,0,0,0,99.3630573248408,0,NA,NA,0
