found_taxa,common_name,rank,motu,motu_swarm,asv,curated,lulu_rank,found_taxa_asv,common_name_asv,rank_asv,identity_percentage,evalue,kingdom,phylum,class,order,family,genus,freshwater_only
uncultured bacterium,Bacteria,outgroup,motu1074,motu1074,ASV1775,parent,1079,uncultured bacterium,Bacteria,outgroup,99.184,3.2899999999999996e-124,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu1084,motu1084,ASV1791,parent,1090,uncultured bacterium,Bacteria,outgroup,99.605,2.5199999999999995e-130,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu1085,motu1085,ASV1792,parent,1088,uncultured bacterium,Bacteria,outgroup,96.484,1.2099999999999998e-118,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu1091,motu1091,ASV1798,parent,1096,uncultured bacterium,Bacteria,outgroup,100,3.2899999999999996e-124,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu1092,motu1092,ASV1801,parent,1100,uncultured bacterium,Bacteria,outgroup,99.605,7.02e-131,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu1094,motu1094,ASV1803,parent,1097,uncultured bacterium,Bacteria,outgroup,97.628,5.5e-122,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu1098,motu1098,ASV1808,parent,1108,uncultured bacterium,Bacteria,outgroup,98.361,2.59e-120,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu1099,motu1099,ASV1809,parent,1103,uncultured bacterium,Bacteria,outgroup,97.551,1.5400000000000001e-117,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu1101,motu1101,ASV1811,parent,1106,uncultured bacterium,Bacteria,outgroup,98.413,9.139999999999999e-125,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu1102,motu1102,ASV1812,parent,1105,uncultured bacterium,Bacteria,outgroup,100,5.4199999999999993e-132,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu1103,motu1103,ASV1813,parent,1107,uncultured bacterium,Bacteria,outgroup,96.443,5.54e-117,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu1110,motu1110,ASV1825,parent,1114,uncultured bacterium,Bacteria,outgroup,97.541,5.61e-117,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu1122,motu1122,ASV1850,parent,1127,uncultured bacterium,Bacteria,outgroup,98.047,2.5699999999999997e-125,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu1124,motu1124,ASV1852,parent,1125,uncultured bacterium,Bacteria,outgroup,98.367,7.119999999999999e-121,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu1133,motu1133,ASV1870,parent,1135,uncultured bacterium,Bacteria,outgroup,98.354,9.21e-120,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu1135,motu1135,ASV1872,parent,1134,uncultured bacterium,Bacteria,outgroup,98.367,7.119999999999999e-121,Bacteria,NA,NA,NA,NA,NA,NA
