Lane,SampleID,Index,# Reads,# Perfect Index Reads,# One Mismatch Index Reads,# Two Mismatch Index Reads,% Reads,% Perfect Index Reads,% One Mismatch Index Reads,% Two Mismatch Index Reads
1,0137,ELIDED,357173,328475,28698,0,0.0025,0.9197,0.0803,0.0000
1,0138,ELIDED,313127,288056,25071,0,0.0022,0.9199,0.0801,0.0000
1,0139,ELIDED,322582,311712,10870,0,0.0023,0.9663,0.0337,0.0000
1,0140,ELIDED,206424,196917,9507,0,0.0014,0.9539,0.0461,0.0000
1,0141,ELIDED,266330,258060,8270,0,0.0019,0.9689,0.0311,0.0000
1,0142,ELIDED,189423,181152,8271,0,0.0013,0.9563,0.0437,0.0000
1,0143,ELIDED,265182,243980,21202,0,0.0019,0.9200,0.0800,0.0000
1,0144,ELIDED,319842,303269,16573,0,0.0022,0.9482,0.0518,0.0000
1,0145,ELIDED,216751,209183,7568,0,0.0015,0.9651,0.0349,0.0000
1,0146,ELIDED,192954,177824,15130,0,0.0014,0.9216,0.0784,0.0000
1,0147,ELIDED,237627,224797,12830,0,0.0017,0.9460,0.0540,0.0000
1,0148,ELIDED,35,29,6,0,0.0000,0.8286,0.1714,0.0000
1,0149,ELIDED,191774,181111,10663,0,0.0013,0.9444,0.0556,0.0000
1,0150,ELIDED,298833,290240,8593,0,0.0021,0.9712,0.0288,0.0000
1,0151,ELIDED,261150,231011,30139,0,0.0018,0.8846,0.1154,0.0000
1,0152,ELIDED,513493,497212,16281,0,0.0036,0.9683,0.0317,0.0000
1,0153,ELIDED,367372,353894,13478,0,0.0026,0.9633,0.0367,0.0000
1,0154,ELIDED,24,21,3,0,0.0000,0.8750,0.1250,0.0000
1,0155,ELIDED,32312,30972,1340,0,0.0002,0.9585,0.0415,0.0000
1,0156,ELIDED,242875,223856,19019,0,0.0017,0.9217,0.0783,0.0000
1,0157,ELIDED,175736,167444,8292,0,0.0012,0.9528,0.0472,0.0000
1,0158,ELIDED,345795,334675,11120,0,0.0024,0.9678,0.0322,0.0000
1,0159,ELIDED,77608,74141,3467,0,0.0005,0.9553,0.0447,0.0000
1,0160,ELIDED,288883,271518,17365,0,0.0020,0.9399,0.0601,0.0000
1,0161,ELIDED,207776,197158,10618,0,0.0015,0.9489,0.0511,0.0000
1,0162,ELIDED,6,5,1,0,0.0000,0.8333,0.1667,0.0000
1,0163,ELIDED,217068,209677,7391,0,0.0015,0.9660,0.0340,0.0000
1,0164,ELIDED,179390,173581,5809,0,0.0013,0.9676,0.0324,0.0000
1,0165,ELIDED,179865,163181,16684,0,0.0013,0.9072,0.0928,0.0000
1,0166,ELIDED,182761,174615,8146,0,0.0013,0.9554,0.0446,0.0000
1,0167,ELIDED,231110,219481,11629,0,0.0016,0.9497,0.0503,0.0000
1,0168,ELIDED,231396,224392,7004,0,0.0016,0.9697,0.0303,0.0000
1,0169,ELIDED,201810,194644,7166,0,0.0014,0.9645,0.0355,0.0000
1,0170,ELIDED,216430,191724,24706,0,0.0015,0.8858,0.1142,0.0000
1,0171,ELIDED,214952,208645,6307,0,0.0015,0.9707,0.0293,0.0000
1,0172,ELIDED,3001,2893,108,0,0.0000,0.9640,0.0360,0.0000
1,0173,ELIDED,196483,189156,7327,0,0.0014,0.9627,0.0373,0.0000
1,0174,ELIDED,189023,182860,6163,0,0.0013,0.9674,0.0326,0.0000
1,0175,ELIDED,156228,147388,8840,0,0.0011,0.9434,0.0566,0.0000
1,0176,ELIDED,143755,135446,8309,0,0.0010,0.9422,0.0578,0.0000
1,0177,ELIDED,101177,23864,77313,0,0.0007,0.2359,0.7641,0.0000
