"","input_dada2","after_filter_and_trim","raw_f","raw_r","cutadapt_f","cutadapt_r","denoised_f","denoised_r","merged","nosingletons","nochimeras","percentraw_retainedby_cutadapt","percenttrimmed_into_dada2","percentinput_retainedby_dada2_filterandtrim","percent_retainedby_dada2_denoising","percent_retained_aftermerge","percent_notsingleton","percent_notchimera","percent_retained_of_raw"
"edna0033-Rep3_S339_L001_R1_001.fastq.gz",38880,25774,38882,38882,38880,38880,25750,25751,25011,25011,25011,99.9948562316753,99.9948562316753,66.2911522633745,99.9068829052534,97.1300970873786,100,100,64.3253947842189
"edna0034-Rep1_S28_L001_R1_001.fastq.gz",13979,8866,14021,14021,13979,13979,8861,8850,8286,8286,8088,99.700449326011,99.700449326011,63.423706989055,99.9436047823145,93.5108904186886,100,97.6104272266474,57.6849012195992
"edna0034-Rep2_S184_L001_R1_001.fastq.gz",28358,19083,28359,28359,28358,28358,19066,19053,18274,18274,18274,99.9964737825734,99.9964737825734,67.2931800550109,99.9109154745061,95.8460086016994,100,100,64.4380972530766
"edna0034-Rep3_S340_L001_R1_001.fastq.gz",39476,26047,39477,39477,39476,39476,26032,26026,25442,25442,25081,99.9974668794488,99.9974668794488,65.981862397406,99.9424117940646,97.7335586969883,100,98.5810863925792,63.5331965448236
"edna0035-Rep1_S29_L001_R1_001.fastq.gz",24330,15777,24431,24431,24330,24330,15687,15760,15180,15180,15180,99.5865908067619,99.5865908067619,64.845869297164,99.4295493439817,96.7680244788679,100,100,62.1341737955876
"edna0035-Rep2_S185_L001_R1_001.fastq.gz",42143,27984,42157,42157,42143,42143,27971,27966,27190,27184,25965,99.9667908057974,99.9667908057974,66.4024867712313,99.9535448827902,97.2078223874727,99.9779330636263,95.515744555621,61.5911948193657
"edna0035-Rep3_S341_L001_R1_001.fastq.gz",38752,25374,38758,38758,38752,38752,25363,25176,23979,23979,23979,99.9845193250426,99.9845193250426,65.4779108175062,99.9566485378734,94.5432322674762,100,100,61.8685174673616
"edna0036-Rep1_S30_L001_R1_001.fastq.gz",15522,9224,15541,15541,15522,15522,9223,9212,8239,8239,8029,99.8777427449971,99.8777427449971,59.4253317871408,99.989158716392,89.3310202753985,100,97.4511469838573,51.6633421272762
"edna0036-Rep2_S186_L001_R1_001.fastq.gz",49144,33033,49147,49147,49144,49144,32963,32824,31726,31726,30625,99.9938958634301,99.9938958634301,67.2167507732378,99.7880906971816,96.2473075872949,100,96.529660215596,62.3130608175474
"edna0036-Rep3_S342_L001_R1_001.fastq.gz",17235,11368,17235,17235,17235,17235,11366,11356,11091,11091,10813,100,100,65.9588047577604,99.9824067558058,97.5805032553229,100,97.4934631683347,62.7386132869162
"edna0037-Rep1_S31_L001_R1_001.fastq.gz",21878,12962,21950,21950,21878,21878,12878,12936,11407,11407,10586,99.6719817767654,99.6719817767654,59.2467318767712,99.351951859281,88.5774188538593,100,92.8026650302446,48.2277904328018
"edna0037-Rep2_S187_L001_R1_001.fastq.gz",36928,22665,36934,36934,36928,36928,22638,22632,21234,21234,19553,99.9837548058699,99.9837548058699,61.376191507799,99.8808735936466,93.7980386959979,100,92.0834510690402,52.9403801375426
"edna0037-Rep3_S343_L001_R1_001.fastq.gz",39010,23704,39017,39017,39010,39010,23676,23569,22144,22144,21594,99.9820591024425,99.9820591024425,60.7639066905922,99.881876476544,93.5293123838486,100,97.5162572254335,55.3451059794449
"edna0038-Rep1_S32_L001_R1_001.fastq.gz",24267,14419,24301,24301,24267,24267,14402,14394,12503,12503,11825,99.8600880622197,99.8600880622197,59.4181398607162,99.8821000069353,86.814331342869,100,94.5773014476526,48.6605489486029
"edna0038-Rep2_S188_L001_R1_001.fastq.gz",35864,22771,35867,35867,35864,35864,22702,22730,22181,22181,20837,99.9916357654669,99.9916357654669,63.4926388579076,99.696983004699,97.7050480133909,100,93.9407601100041,58.0951849889871
"edna0038-Rep3_S344_L001_R1_001.fastq.gz",27185,16610,27192,27192,27185,27185,16592,16568,15545,15545,14086,99.9742571344513,99.9742571344513,61.099871252529,99.8916315472607,93.6897299903568,100,90.6143454486973,51.8020005884084
"edna0039-Rep1_S33_L001_R1_001.fastq.gz",34919,19963,34974,34974,34919,34919,19947,19938,18668,18668,16131,99.8427403213816,99.8427403213816,57.1694492969444,99.9198517256925,93.5880082217877,100,86.4098992929077,46.1228341053354
"edna0039-Rep2_S189_L001_R1_001.fastq.gz",28529,17488,28546,28546,28529,28529,17450,17451,16845,16845,14471,99.9404469978281,99.9404469978281,61.2990290581514,99.7827081427264,96.5329512893983,100,85.9067972692194,50.6936173194143
"edna0039-Rep3_S345_L001_R1_001.fastq.gz",21599,12752,21603,21603,21599,21599,12693,12735,11681,11681,10798,99.9814840531408,99.9814840531408,59.0397703597389,99.5373274780427,92.0271015520366,100,92.4407156921496,49.9837985464982
"edna0040-Rep1_S34_L001_R1_001.fastq.gz",35041,20787,35152,35152,35041,35041,20765,20697,19198,19183,17667,99.6842284934001,99.6842284934001,59.3219371593276,99.8941646221196,92.4536479653263,99.9218668611314,92.0971693687119,50.258875739645
"edna0040-Rep2_S190_L001_R1_001.fastq.gz",51652,32218,51659,51659,51652,51652,32205,32152,30926,30926,27371,99.986449602199,99.986449602199,62.3751258421745,99.9596498851574,96.028566992703,100,88.5048179525319,52.9839911728837
"edna0040-Rep3_S346_L001_R1_001.fastq.gz",22077,13295,22084,22084,22077,22077,13275,13268,12497,12497,11932,99.9683028436877,99.9683028436877,60.2210445259773,99.8495675065814,94.1393596986817,100,95.4789149395855,54.0300670168448
