"","input_dada2","after_filter_and_trim","raw_f","raw_r","cutadapt_f","cutadapt_r","denoised_f","denoised_r","merged","nosingletons","nochimeras","percentraw_retainedby_cutadapt","percenttrimmed_into_dada2","percentinput_retainedby_dada2_filterandtrim","percent_retainedby_dada2_denoising","percent_retained_aftermerge","percent_notsingleton","percent_notchimera","percent_retained_of_raw"
"edna0158-Rep2_S310_L001_R1_001.fastq.gz",28048,15920,28053,28053,28048,28048,15811,15821,14515,14515,13619,99.9821765943036,99.9821765943036,56.7598402738163,99.3153266331658,91.8031750047435,100,93.8270754392008,48.5473924357466
"edna0158-Rep3_S466_L001_R1_001.fastq.gz",56263,35125,56523,56523,56263,56263,34989,34988,33536,33536,31070,99.5400102613095,99.5400102613095,62.4300161740398,99.6128113879004,95.8472662836892,100,92.6467080152672,54.9687737735081
"edna0159-Rep1_S155_L001_R1_001.fastq.gz",26340,15302,26340,26340,26340,26340,15294,15286,13877,13877,13209,100,100,58.0941533788914,99.9477192523853,90.734928730221,100,95.1862794552137,50.1480637813212
"edna0159-Rep2_S311_L001_R1_001.fastq.gz",26468,15550,26468,26468,26468,26468,15459,15531,14581,14581,12477,100,100,58.7501889073598,99.4147909967846,94.3204605731289,100,85.5702626705987,47.1399425721626
"edna0159-Rep3_S467_L001_R1_001.fastq.gz",47590,28238,47597,47597,47590,47590,28148,28200,27038,27038,24436,99.9852931907473,99.9852931907473,59.3359949569237,99.6812805439479,96.0565581924115,100,90.3765071381019,51.3393701283694
"NEG1-Rep1_S95_L001_R1_001.fastq.gz",10659,6745,10674,10674,10659,10659,6743,6712,6051,6051,5786,99.8594716132659,99.8594716132659,63.2798573975045,99.9703484062268,89.7375055613228,100,95.6205585853578,54.206483042908
"NEG1-Rep2_S251_L001_R1_001.fastq.gz",147,80,161,161,147,147,78,78,78,78,78,91.304347826087,91.304347826087,54.421768707483,97.5,100,100,100,48.4472049689441
"NEG1-Rep3_S407_L001_R1_001.fastq.gz",20,4,40,40,20,20,2,1,0,0,0,50,50,20,50,0,NA,NA,0
"NEG2-Rep1_S96_L001_R1_001.fastq.gz",20876,13237,21380,21380,20876,20876,13221,13204,11905,11905,10634,97.6426566884939,97.6426566884939,63.4077409465415,99.8791266903377,90.0461387187051,100,89.3238135237295,49.7380729653882
"NEG2-Rep2_S252_L001_R1_001.fastq.gz",35,8,51,51,35,35,2,2,2,2,2,68.6274509803922,68.6274509803922,22.8571428571429,25,100,100,100,3.92156862745098
"NEG2-Rep3_S408_L001_R1_001.fastq.gz",38,10,119,119,38,38,6,6,6,6,4,31.9327731092437,31.9327731092437,26.3157894736842,60,100,100,66.6666666666667,3.36134453781513
"NEG3-Rep1_S156_L001_R1_001.fastq.gz",10452,5659,10530,10530,10452,10452,5655,5648,5018,5018,5018,99.2592592592593,99.2592592592593,54.1427477994642,99.9293161335925,88.735632183908,100,100,47.6543209876543
"NEG3-Rep2_S312_L001_R1_001.fastq.gz",37,4,66,66,37,37,1,1,0,0,0,56.0606060606061,56.0606060606061,10.8108108108108,25,0,NA,NA,0
"NEG3-Rep3_S468_L001_R1_001.fastq.gz",45,8,108,108,45,45,5,2,0,0,0,41.6666666666667,41.6666666666667,17.7777777777778,62.5,0,NA,NA,0
