SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
88	1106	5125	4872
89	1106	4750	4507
90	1106	5502	5237
91	1106	4478	4279
92	1106	5355	5078
93	1106	5220	4937
94	1106	5239	4957
95	1106	6289	5967
96	1106	4716	4498
97	1106	8457	8065
98	1106	6071	5755
99	1106	6602	6256
100	1106	6217	5934
101	1106	5490	5236
102	1106	4962	4713
103	1106	5489	5224
104	1106	3993	3770
105	1106	4596	4397
106	1106	6360	6006
107	1106	6418	6050
108	1106	9573	9125
109	1106	209	119
110	1106	9650	9173
111	1106	6620	6338
112	1106	4659	4444
113	1106	6286	5973
114	1106	6590	6267
115	1106	5814	5544
116	1106	5192	4942
117	1106	7068	6752
118	1106	5889	5523
119	1106	3399	3266
120	1106	3950	3729
121	1106	5146	4911
122	1106	3901	3703
123	1106	4589	4373
124	1106	4269	4095
125	1106	7108	6375
126	1106	5045	4812
127	1106	80	65
128	1106	401	308
129	1106	43	40
130	1106	7	6
131	1106	70	48
132	1106	139	88
133	1106	8	7
134	1106	37	26
0	1107	89005	62118
1	1107	4638	4417
2	1107	2654	2512
3	1107	4068	3864
4	1107	6461	6131
5	1107	4596	4348
6	1107	3746	3557
7	1107	6230	5937
8	1107	2799	2659
9	1107	6468	6143
10	1107	6190	5862
11	1107	3689	3522
12	1107	5234	4951
13	1107	4599	4400
14	1107	6366	6038
15	1107	5655	5405
16	1107	4856	4637
17	1107	7429	7120
18	1107	5650	5404
19	1107	5449	5207
20	1107	5492	5253
21	1107	4834	4625
22	1107	5290	5065
23	1107	4352	4152
24	1107	4914	4691
25	1107	4764	4520
26	1107	5234	4964
27	1107	5259	5001
28	1107	7373	7033
29	1107	5626	5302
30	1107	5986	5669
31	1107	5012	4790
32	1107	5169	4946
33	1107	5358	5132
34	1107	5311	5079
35	1107	5600	5359
36	1107	6084	5796
37	1107	5977	5696
38	1107	4461	4273
39	1107	5647	5384
40	1107	5380	4755
41	1107	5240	5019
42	1107	4121	3930
43	1107	3960	3790
44	1107	48	34
45	1107	6066	5791
46	1107	5130	4873
47	1107	4927	4678
48	1107	4585	4381
49	1107	4919	4656
50	1107	4007	3816
51	1107	5468	5222
52	1107	4589	4363
53	1107	5500	5222
54	1107	4100	3877
55	1107	5568	5295
56	1107	4842	4634
57	1107	4834	4586
58	1107	4106	3884
59	1107	12158	11618
60	1107	5350	5090
61	1107	4675	4486
62	1107	4509	4279
63	1107	4870	4653
64	1107	3944	3770
65	1107	4878	4610
66	1107	4671	4415
67	1107	4551	4330
68	1107	6104	5811
69	1107	5121	4875
70	1107	6497	6178
71	1107	5623	5345
72	1107	4930	4694
73	1107	4398	4174
74	1107	5893	5608
75	1107	5129	4875
76	1107	2014	1898
77	1107	6334	6041
78	1107	8053	7646
79	1107	5955	5676
80	1107	3911	3712
81	1107	4997	4774
82	1107	7338	6976
83	1107	5886	5629
84	1107	4993	4723
85	1107	6146	5884
86	1107	5789	5496
87	1107	5813	5519
88	1107	5158	4883
89	1107	4563	4345
90	1107	5533	5266
91	1107	4534	4320
92	1107	5497	5223
93	1107	5339	5099
94	1107	5364	5094
95	1107	6325	5991
96	1107	4929	4704
97	1107	8234	7826
98	1107	6093	5762
99	1107	6639	6277
100	1107	6169	5868
101	1107	5306	5043
102	1107	4928	4702
103	1107	5573	5313
104	1107	4267	4039
105	1107	4395	4212
106	1107	6480	6127
107	1107	6347	6002
108	1107	9730	9317
109	1107	150	85
110	1107	9478	8982
111	1107	6563	6287
112	1107	4655	4457
113	1107	6287	5983
114	1107	6856	6490
115	1107	5690	5399
116	1107	5015	4767
117	1107	7103	6769
118	1107	5484	5159
119	1107	3401	3266
120	1107	3825	3638
121	1107	5177	4939
122	1107	3757	3569
123	1107	4655	4437
124	1107	4356	4172
125	1107	6826	6127
126	1107	5036	4806
127	1107	61	50
128	1107	401	307
129	1107	37	34
130	1107	12	12
131	1107	100	61
132	1107	134	68
133	1107	17	14
134	1107	31	27
0	1108	89978	63355
1	1108	4580	4386
2	1108	2646	2520
3	1108	4258	4080
4	1108	6449	6147
5	1108	4409	4193
6	1108	3650	3451
7	1108	6413	6099
8	1108	2640	2496
9	1108	6374	6059
10	1108	5873	5598
11	1108	3594	3438
12	1108	5219	4966
13	1108	4848	4637
14	1108	6379	6088
15	1108	5802	5524
16	1108	4945	4729
17	1108	7585	7265
18	1108	5329	5083
19	1108	5490	5297
20	1108	5542	5283
21	1108	4915	4707
22	1108	5067	4810
23	1108	4302	4124
24	1108	4808	4578
25	1108	4915	4680
26	1108	5351	5094
27	1108	5015	4770
28	1108	7215	6896
29	1108	5443	5092
30	1108	6229	5894
31	1108	5176	4946
32	1108	5325	5081
33	1108	5441	5196
34	1108	5148	4925
35	1108	5671	5434
36	1108	6263	6003
37	1108	6175	5931
38	1108	4468	4253
39	1108	5701	5432
40	1108	5335	4706
41	1108	5372	5093
42	1108	4094	3897
43	1108	4115	3940
44	1108	90	79
45	1108	6029	5751
46	1108	5129	4893
47	1108	4984	4779
48	1108	4571	4378
49	1108	4886	4633
50	1108	4050	3845
51	1108	5368	5110
52	1108	4673	4441
53	1108	5482	5232
54	1108	4091	3879
55	1108	5605	5332
56	1108	4798	4559
57	1108	5053	4839
58	1108	4128	3892
59	1108	12090	11562
60	1108	5378	5112
61	1108	4674	4472
62	1108	4453	4233
63	1108	4897	4682
64	1108	4088	3902
65	1108	4908	4652
66	1108	4792	4537
67	1108	4437	4248
68	1108	6158	5855
69	1108	5004	4790
70	1108	6506	6172
71	1108	5558	5311
72	1108	4964	4734
73	1108	4426	4202
74	1108	6034	5745
75	1108	5196	4963
76	1108	2262	2149
77	1108	6382	6100
78	1108	7944	7540
79	1108	6003	5710
80	1108	3741	3538
81	1108	5133	4890
82	1108	7206	6824
83	1108	5768	5536
84	1108	5020	4765
85	1108	6369	6074
86	1108	6037	5723
87	1108	6101	5802
88	1108	4894	4640
89	1108	4741	4535
90	1108	5428	5145
91	1108	4479	4280
92	1108	5243	4994
93	1108	5153	4892
94	1108	5412	5108
95	1108	6197	5911
96	1108	4833	4609
97	1108	8560	8133
98	1108	6246	5909
99	1108	6513	6200
100	1108	6042	5791
101	1108	5138	4906
102	1108	4895	4653
103	1108	5212	4973
104	1108	4221	4027
105	1108	4571	4385
106	1108	6399	6074
107	1108	6370	6023
108	1108	9691	9270
109	1108	166	92
110	1108	9587	9087
111	1108	6453	6193
112	1108	4763	4540
113	1108	6332	6068
114	1108	6628	6285
115	1108	5749	5497
116	1108	5007	4758
117	1108	7008	6720
118	1108	5635	5322
119	1108	3392	3238
120	1108	3876	3708
121	1108	5162	4951
122	1108	3913	3738
123	1108	4437	4253
124	1108	4409	4254
125	1108	7130	6434
126	1108	5042	4815
127	1108	65	54
128	1108	390	306
129	1108	31	30
130	1108	21	17
131	1108	131	88
132	1108	136	85
133	1108	11	8
134	1108	27	19
0	1109	91260	63143
1	1109	4606	4379
2	1109	2679	2534
3	1109	4273	4070
4	1109	6379	6015
5	1109	4474	4269
6	1109	3503	3311
7	1109	6462	6123
8	1109	2726	2563
9	1109	6622	6281
10	1109	6093	5770
11	1109	3703	3517
12	1109	5206	4944
13	1109	4628	4407
14	1109	6372	6065
15	1109	5793	5479
16	1109	4954	4735
17	1109	7495	7179
18	1109	5231	4995
19	1109	5620	5398
20	1109	5484	5202
21	1109	5130	4906
22	1109	5108	4857
23	1109	4467	4252
24	1109	4851	4648
25	1109	4983	4742
26	1109	5323	5051
27	1109	5006	4738
28	1109	7210	6839
29	1109	5535	5110
30	1109	6197	5867
31	1109	4924	4680
32	1109	5271	5018
33	1109	5624	5358
34	1109	5403	5107
35	1109	5639	5360
36	1109	6374	6092
37	1109	5965	5695
38	1109	4559	4331
39	1109	5514	5245
40	1109	5331	4757
41	1109	5174	4952
42	1109	4109	3895
43	1109	4113	3941
44	1109	73	59
45	1109	6177	5897
46	1109	5003	4741
47	1109	4902	4667
48	1109	4395	4218
49	1109	5148	4878
50	1109	4165	3949
51	1109	5346	5109
52	1109	4818	4554
53	1109	5389	5123
54	1109	4110	3879
55	1109	5659	5371
56	1109	4835	4579
57	1109	4929	4658
58	1109	4152	3935
59	1109	12319	11733
60	1109	5264	5019
61	1109	4669	4427
62	1109	4680	4431
63	1109	4972	4734
64	1109	3829	3655
