SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
78	1111	4089	3991
79	1111	3769	3680
80	1111	2575	2490
81	1111	3684	3563
82	1111	3747	3664
83	1111	3981	3871
84	1111	2977	2831
85	1111	4566	4481
86	1111	4925	4792
87	1111	4878	4731
88	1111	4002	3831
89	1111	3874	3746
90	1111	3958	3845
91	1111	4170	4057
92	1111	3148	3066
93	1111	3366	3263
94	1111	2990	2896
95	1111	4115	3991
96	1111	913	864
0	1112	131753	113876
1	1112	4645	4553
2	1112	5267	5148
3	1112	5465	5351
4	1112	4192	4101
5	1112	4501	4429
6	1112	2970	2877
7	1112	4063	3958
8	1112	2003	1837
9	1112	5021	4917
10	1112	5024	4923
11	1112	4611	4515
12	1112	4367	4277
13	1112	4263	4183
14	1112	4253	4146
15	1112	4294	4217
16	1112	3928	3825
17	1112	4710	4621
18	1112	6632	6514
19	1112	3976	3908
20	1112	6529	6404
21	1112	5682	5580
22	1112	5818	5672
23	1112	4392	4319
24	1112	3497	3418
25	1112	5131	5034
26	1112	4796	4688
27	1112	4289	4163
28	1112	5343	5215
29	1112	2872	2719
30	1112	6251	6117
31	1112	5522	5387
32	1112	4892	4766
33	1112	5465	5354
34	1112	6662	6504
35	1112	4909	4809
36	1112	5229	5107
37	1112	6266	6166
38	1112	5144	5041
39	1112	4448	4361
40	1112	3935	3806
41	1112	3570	3468
42	1112	4237	4154
43	1112	4383	4302
44	1112	4365	4288
45	1112	4836	4743
46	1112	4256	4139
47	1112	4310	4220
48	1112	3587	3486
49	1112	4396	4285
50	1112	5218	5036
51	1112	4631	4545
52	1112	5604	5477
53	1112	4532	4445
54	1112	5085	4978
55	1112	4808	4711
56	1112	3825	3687
57	1112	3335	3250
58	1112	3523	3446
59	1112	3524	3449
60	1112	3295	3220
61	1112	3804	3724
62	1112	3865	3798
63	1112	3717	3643
64	1112	3695	3605
65	1112	3805	3691
66	1112	5083	4991
67	1112	2306	2148
68	1112	5019	4876
69	1112	4790	4672
70	1112	3847	3698
71	1112	4519	4441
72	1112	3982	3845
73	1112	3481	3352
74	1112	4034	3932
75	1112	4398	4323
76	1112	3952	3876
77	1112	4183	4091
78	1112	4017	3925
79	1112	3826	3738
80	1112	2541	2470
81	1112	3669	3540
82	1112	3759	3663
83	1112	3953	3878
84	1112	3045	2908
85	1112	4573	4489
86	1112	4803	4692
87	1112	4931	4823
88	1112	4106	3940
89	1112	4021	3924
90	1112	4045	3944
91	1112	4390	4271
92	1112	3232	3136
93	1112	3383	3312
94	1112	2927	2851
95	1112	4061	3971
96	1112	981	941
0	1113	133443	114201
1	1113	4731	4613
2	1113	5071	4938
3	1113	5303	5183
4	1113	4211	4097
5	1113	4609	4490
6	1113	3034	2928
7	1113	4166	4068
8	1113	1874	1701
9	1113	5119	4994
10	1113	5128	5006
11	1113	4704	4596
12	1113	4359	4263
13	1113	4049	3955
14	1113	4400	4293
15	1113	4507	4394
16	1113	3996	3874
17	1113	5007	4907
18	1113	6583	6448
19	1113	4115	4032
20	1113	6533	6400
21	1113	5944	5812
22	1113	6009	5861
23	1113	4526	4409
24	1113	3471	3363
25	1113	5112	4987
26	1113	4748	4637
27	1113	3953	3845
28	1113	5308	5155
29	1113	2376	2241
30	1113	6182	6025
31	1113	5620	5477
32	1113	4879	4716
33	1113	5633	5465
34	1113	6629	6468
35	1113	4922	4767
36	1113	5496	5370
37	1113	6290	6135
38	1113	5236	5083
39	1113	4713	4589
40	1113	4045	3911
41	1113	3413	3306
42	1113	4101	3999
43	1113	4301	4225
44	1113	4471	4364
45	1113	4799	4696
46	1113	4250	4137
47	1113	4303	4197
48	1113	3548	3421
49	1113	4331	4213
50	1113	5349	5128
51	1113	4609	4496
52	1113	5442	5289
53	1113	4555	4456
54	1113	4947	4778
55	1113	4770	4646
56	1113	3806	3679
57	1113	3366	3280
58	1113	3620	3506
59	1113	3496	3422
60	1113	3176	3107
61	1113	3758	3673
62	1113	3794	3681
63	1113	3677	3589
64	1113	3704	3596
65	1113	3849	3711
66	1113	5001	4863
67	1113	2236	2064
68	1113	4989	4849
69	1113	5097	4975
70	1113	3691	3536
71	1113	4369	4248
72	1113	3994	3862
73	1113	3503	3372
74	1113	3962	3858
75	1113	4451	4383
76	1113	4076	3976
77	1113	4192	4100
78	1113	4093	3977
79	1113	3813	3710
80	1113	2287	2197
81	1113	3854	3716
82	1113	3671	3558
83	1113	4028	3930
84	1113	2964	2844
85	1113	4650	4557
86	1113	4915	4796
87	1113	4907	4772
88	1113	4024	3864
89	1113	3985	3878
90	1113	3957	3823
91	1113	4296	4172
92	1113	3079	2991
93	1113	3484	3398
94	1113	2833	2753
