SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
111	1107	4	4
112	1107	1288	1280
113	1107	2943	2925
114	1107	3377	3351
115	1107	5	5
116	1107	2186	2172
117	1107	1833	1809
118	1107	1282	1270
119	1107	2256	2238
120	1107	118	111
121	1107	4256	4217
122	1107	4258	4227
123	1107	3632	3606
124	1107	3646	3614
125	1107	3	3
126	1107	2968	2956
127	1107	1636	1622
128	1107	3579	3548
129	1107	2692	2667
130	1107	84	78
131	1107	1535	1518
132	1107	3097	3082
133	1107	1	1
134	1107	2699	2678
135	1107	1	1
136	1107	2622	2594
138	1107	3036	3005
139	1107	1032	1024
140	1107	1	1
141	1107	2833	2815
142	1107	2375	2361
143	1107	1	1
144	1107	3	3
145	1107	1876	1862
146	1107	2641	2626
147	1107	2331	2311
148	1107	5	4
149	1107	2964	2947
150	1107	1687	1680
151	1107	1827	1820
152	1107	1679	1662
153	1107	2292	2266
154	1107	1	1
155	1107	1	1
156	1107	1890	1875
157	1107	3	3
158	1107	4	4
159	1107	2572	2557
160	1107	2470	2446
161	1107	2346	2327
162	1107	1	1
163	1107	2348	2329
164	1107	3172	3145
165	1107	12	12
166	1107	1371	1359
167	1107	3236	3208
168	1107	1644	1625
169	1107	4735	4681
170	1107	65	63
171	1107	4608	4569
172	1107	3213	3186
173	1107	3828	3803
174	1107	3899	3876
175	1107	4033	4004
176	1107	4249	4209
177	1107	2	2
178	1107	5	5
179	1107	3	3
180	1107	2	1
182	1107	2416	2400
183	1107	1681	1661
184	1107	3	2
0	1108	92411	81091
1	1108	12116	11989
2	1108	315	282
3	1108	825	780
4	1108	2343	2316
5	1108	2531	2491
6	1108	1884	1855
7	1108	33	33
8	1108	7423	7331
9	1108	6707	6634
10	1108	4123	4078
11	1108	2996	2949
12	1108	570	549
13	1108	4404	4356
14	1108	3400	3360
15	1108	4198	4144
16	1108	6693	6615
17	1108	29	26
18	1108	4617	4571
19	1108	4038	3996
20	1108	4303	4261
21	1108	4420	4384
22	1108	15	14
23	1108	3269	3239
24	1108	5145	5087
25	1108	407	402
26	1108	8	8
27	1108	3	3
28	1108	3	3
29	1108	33	33
30	1108	3720	3680
31	1108	3	3
32	1108	8592	8501
33	1108	2275	2254
34	1108	2911	2883
35	1108	69	65
36	1108	5144	5090
37	1108	2	2
38	1108	26	25
39	1108	4168	4139
40	1108	8528	8441
41	1108	1015	1006
42	1108	8159	8085
43	1108	1657	1646
44	1108	7	7
45	1108	3	3
46	1108	4257	4211
47	1108	9	9
48	1108	43	40
49	1108	2273	2242
50	1108	6648	6574
51	1108	5	4
52	1108	2892	2865
53	1108	5	5
54	1108	3371	3332
55	1108	2573	2544
56	1108	33	28
57	1108	2233	2213
58	1108	12	12
59	1108	1304	1294
60	1108	3538	3502
61	1108	3277	3248
62	1108	1832	1820
63	1108	2191	2168
64	1108	28	25
65	1108	2174	2150
66	1108	3313	3277
67	1108	2899	2871
68	1108	3027	2994
69	1108	17	16
70	1108	5145	5097
71	1108	4198	4157
72	1108	3617	3587
73	1108	15	14
74	1108	1	1
75	1108	9262	9165
77	1108	6	5
78	1108	6625	6557
79	1108	8	7
80	1108	695	681
81	1108	9210	9127
82	1108	7044	6967
83	1108	7164	7087
84	1108	27	24
85	1108	11649	11554
86	1108	8673	8582
87	1108	9	9
88	1108	2878	2842
89	1108	14	14
90	1108	1	1
91	1108	2	2
92	1108	1	1
93	1108	3	2
94	1108	1	1
95	1108	4	4
96	1108	2401	2371
97	1108	135	130
98	1108	12	11
99	1108	2	2
