"","accession","found_taxa","rank","common_name","taxa_verbatim","ncbi_sp","worms_match","worms_aphiaid","status","valid_authority","kingdom","phylum","class","order","family","genus","freshwater_only","terrestrial_only","hybrid","ncbi_taxonomy_2"
"85","OR546217","Acanthemblemaria","genus",NA,"Acanthemblemaria sp. AC-2023","Acanthemblemaria","Acanthemblemaria",254882,"accepted","Metzelaar, 1919","Eukaryota","Chordata","Teleostei","Blenniiformes","Chaenopsidae","Acanthemblemaria","0","0",NA,NA
"86","U90379","Acanthemblemaria aspera","species",NA,"Acanthemblemaria aspera","Acanthemblemaria aspera","Acanthemblemaria aspera",279443,"accepted","(Longley, 1927)","Eukaryota","Chordata","Teleostei","Blenniiformes","Chaenopsidae","Acanthemblemaria","0","0",NA,NA
"87","PV460840","Acanthemblemaria chaplini","species",NA,"Acanthemblemaria chaplini","Acanthemblemaria chaplini","Acanthemblemaria chaplini",279448,"accepted","Böhlke, 1957","Eukaryota","Chordata","Teleostei","Blenniiformes","Chaenopsidae","Acanthemblemaria","0","0",NA,NA
"88","U90380","Acanthemblemaria crockeri","species",NA,"Acanthemblemaria crockeri","Acanthemblemaria crockeri","Acanthemblemaria crockeri",279449,"accepted","Beebe & Tee-Van, 1938","Eukaryota","Chordata","Teleostei","Blenniiformes","Chaenopsidae","Acanthemblemaria","0","0",NA,NA
"89","PV263216","Acanthemblemaria hastingsi","species",NA,"Acanthemblemaria hastingsi","Acanthemblemaria hastingsi","Acanthemblemaria hastingsi",712821,"accepted","Lin & Galland, 2010","Eukaryota","Chordata","Teleostei","Blenniiformes","Chaenopsidae","Acanthemblemaria","0","0",NA,NA
"90","PV263230","Acanthemblemaria macrospilus","species",NA,"Acanthemblemaria macrospilus","Acanthemblemaria macrospilus","Acanthemblemaria macrospilus",279455,"accepted","Brock, 1940","Eukaryota","Chordata","Teleostei","Blenniiformes","Chaenopsidae","Acanthemblemaria","0","0",NA,NA
"91","PV460843","Acanthemblemaria maria","species",NA,"Acanthemblemaria maria","Acanthemblemaria maria","Acanthemblemaria maria",279457,"accepted","Böhlke, 1961","Eukaryota","Chordata","Teleostei","Blenniiformes","Chaenopsidae","Acanthemblemaria","0","0",NA,NA
"92","MZ315025","Acanthemblemaria spinosa","species",NA,"Acanthemblemaria spinosa","Acanthemblemaria spinosa","Acanthemblemaria spinosa",254883,"accepted","Metzelaar, 1919","Eukaryota","Chordata","Teleostei","Blenniiformes","Chaenopsidae","Acanthemblemaria","0","0",NA,NA
"93","DQ533146","Acanthistius ocellatus","species",NA,"Acanthistius ocellatus","Acanthistius ocellatus","Acanthistius ocellatus",278723,"accepted","(Günther, 1859)","Eukaryota","Chordata","Teleostei","Perciformes","Anthiadidae","Acanthistius","0","0",NA,NA
"94","FJ548773","Acanthistius ocellatus","species",NA,"Acanthistius ocellatus","Acanthistius ocellatus","Acanthistius ocellatus",278723,"accepted","(Günther, 1859)","Eukaryota","Chordata","Teleostei","Perciformes","Anthiadidae","Acanthistius","0","0",NA,NA
"95","OK576389","Acanthobrama lissneri","species",NA,"Acanthobrama lissneri","Acanthobrama lissneri","Acanthobrama lissneri",1013097,"accepted","Tortonese, 1952","Eukaryota","Chordata","Teleostei","Cypriniformes","Cyprinidae","Acanthobrama","1","0",NA,NA
"96","AP011264","Acanthobrama persidis","species",NA,"Acanthobrama persidis","Acanthobrama persidis","Acanthobrama persidis",1012346,"accepted","(Coad, 1981)","Eukaryota","Chordata","Teleostei","Cypriniformes","Cyprinidae","Acanthobrama","1","0",NA,NA
"97","OK576390","Acanthobrama telavivensis","species",NA,"Acanthobrama telavivensis","Acanthobrama telavivensis","Acanthobrama telavivensis",236128,"accepted","Goren, Fishelson & Trewavas, 1973","Eukaryota","Chordata","Teleostei","Cypriniformes","Cyprinidae","Acanthobrama","1","0",NA,NA
"98","LC852787","Acanthochaenus luetkenii","species",NA,"Acanthochaenus luetkenii","Acanthochaenus luetkenii","Acanthochaenus luetkenii",127280,"accepted","Gill, 1884","Eukaryota","Chordata","Teleostei","Beryciformes","Stephanoberycidae","Acanthochaenus","0","0",NA,NA
"99","FJ616299","Acanthochromis polyacanthus","species",NA,"Acanthochromis polyacanthus","Acanthochromis polyacanthus","Acanthochromis polyacanthus",279469,"accepted","(Bleeker, 1855)","Eukaryota","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Acanthochromis","0","0",NA,NA
