accepted_name,verbatim_name,taxonomic_status,species,taxon_rank,class,order,family,genus,is_marine,is_brackish,is_freshwater,taxon_id,ncbi_id,region
Malacocottus kincaidi,Malacocottus kincaidi,accepted,Malacocottus kincaidi,species,Teleostei,Perciformes,Psychrolutidae,Malacocottus,TRUE,FALSE,FALSE,279442,433396,Gulf of Alaska
Pseudobathylagus milleri,Pseudobathylagus milleri,accepted,Pseudobathylagus milleri,species,Teleostei,Argentiniformes,Bathylagidae,Pseudobathylagus,TRUE,FALSE,FALSE,282406,301820,Gulf of Alaska
Catostomus catostomus,Catostomus catostomus,accepted,Catostomus catostomus,species,Teleostei,Cypriniformes,Catostomidae,Catostomus,FALSE,TRUE,TRUE,158706,43956,Gulf of Alaska
Triglops scepticus,Triglops scepticus,accepted,Triglops scepticus,species,Teleostei,Perciformes,Cottidae,Triglops,TRUE,FALSE,FALSE,254531,274770,Gulf of Alaska
Bryozoichthys marjorius,Bryozoichthys marjorius,accepted,Bryozoichthys marjorius,species,Teleostei,Perciformes,Stichaeidae,Bryozoichthys,TRUE,FALSE,FALSE,254575,1311538,Gulf of Alaska
Coryphaenoides cinereus,Coryphaenoides cinereus,accepted,Coryphaenoides cinereus,species,Teleostei,Gadiformes,Macrouridae,Coryphaenoides,TRUE,FALSE,FALSE,272326,83391,Gulf of Alaska
Lycodes beringi,Lycodes beringi,accepted,Lycodes beringi,species,Teleostei,Perciformes,Zoarcidae,Lycodes,TRUE,FALSE,FALSE,398582,215428,Gulf of Alaska
Eumicrotremus orbis,Eumicrotremus orbis,accepted,Eumicrotremus orbis,species,Teleostei,Perciformes,Cyclopteridae,Eumicrotremus,TRUE,FALSE,FALSE,254535,433392,Gulf of Alaska
Anoplarchus purpurescens,Anoplarchus purpurescens,accepted,Anoplarchus purpurescens,species,Teleostei,Perciformes,Stichaeidae,Anoplarchus,TRUE,FALSE,FALSE,279633,320623,Gulf of Alaska
Sarritor frenatus,Sarritor frenatus,accepted,Sarritor frenatus,species,Teleostei,Perciformes,Agonidae,Sarritor,TRUE,FALSE,FALSE,254374,274777,Gulf of Alaska
Ptilichthys goodei,Ptilichthys goodei,accepted,Ptilichthys goodei,species,Teleostei,Perciformes,Ptilichthyidae,Ptilichthys,TRUE,FALSE,FALSE,282508,641289,Gulf of Alaska
Clinocottus acuticeps,Clinocottus acuticeps,accepted,Clinocottus acuticeps,species,Teleostei,Perciformes,Cottidae,Clinocottus,TRUE,TRUE,TRUE,280218,459045,Gulf of Alaska
Liparis liparis,Liparis liparis,accepted,Liparis liparis,species,Teleostei,Perciformes,Liparidae,Liparis,TRUE,FALSE,FALSE,127219,446792,Gulf of Alaska
Icelus spiniger,Icelus spiniger,accepted,Icelus spiniger,species,Teleostei,Perciformes,Cottidae,Icelus,TRUE,FALSE,FALSE,254525,557345,Gulf of Alaska
Oligocottus maculosus,Oligocottus maculosus,accepted,Oligocottus maculosus,species,Teleostei,Perciformes,Cottidae,Oligocottus,TRUE,TRUE,FALSE,281872,328410,Gulf of Alaska
Careproctus colletti,Careproctus colletti,accepted,Careproctus colletti,species,Teleostei,Perciformes,Liparidae,Careproctus,TRUE,FALSE,FALSE,254547,796014,Gulf of Alaska
Sebastes wilsoni,Sebastes wilsoni,accepted,Sebastes wilsoni,species,Teleostei,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274868,72107,Gulf of Alaska
Sebastes flavidus,Sebastes flavidus,accepted,Sebastes flavidus,species,Teleostei,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274795,72076,Gulf of Alaska
Stenobrachius nannochir,Stenobrachius nannochir,accepted,Stenobrachius nannochir,species,Teleostei,Myctophiformes,Myctophidae,Stenobrachius,TRUE,FALSE,FALSE,254364,123240,Gulf of Alaska
Lycodes pacificus,Lycodes pacificus,accepted,Lycodes pacificus,species,Teleostei,Perciformes,Zoarcidae,Lycodes,TRUE,FALSE,FALSE,274116,1772091,Gulf of Alaska
Sebastes melanostictus,Sebastes melanostictus,accepted,Sebastes melanostictus,species,Teleostei,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,1015496,394695,Gulf of Alaska
Chauliodus macouni,Chauliodus macouni,accepted,Chauliodus macouni,species,Teleostei,Stomiiformes,Stomiidae,Chauliodus,TRUE,FALSE,FALSE,275055,302055,Gulf of Alaska
Sebastes pinniger,Sebastes pinniger,accepted,Sebastes pinniger,species,Teleostei,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274836,72094,Gulf of Alaska
Myoxocephalus scorpius,Myoxocephalus scorpius,accepted,Myoxocephalus scorpius,species,Teleostei,Perciformes,Cottidae,Myoxocephalus,TRUE,TRUE,FALSE,127203,8097,Gulf of Alaska
Eopsetta jordani,Eopsetta jordani,accepted,Eopsetta jordani,species,Teleostei,Pleuronectiformes,Pleuronectidae,Eopsetta,TRUE,FALSE,FALSE,280690,195609,Gulf of Alaska
Xiphister atropurpureus,Xiphister atropurpureus,accepted,Xiphister atropurpureus,species,Teleostei,Perciformes,Stichaeidae,Xiphister,TRUE,FALSE,FALSE,283194,283024,Gulf of Alaska
Nectoliparis pelagicus,Nectoliparis pelagicus,accepted,Nectoliparis pelagicus,species,Teleostei,Perciformes,Liparidae,Nectoliparis,TRUE,FALSE,FALSE,281641,446815,Gulf of Alaska
Lumpenus fabricii,Lumpenus fabricii,accepted,Lumpenus fabricii,species,Teleostei,Perciformes,Lumpenidae,Lumpenus,TRUE,FALSE,FALSE,127073,NA,Gulf of Alaska
Liparis callyodon,Liparis callyodon,accepted,Liparis callyodon,species,Teleostei,Perciformes,Liparidae,Liparis,TRUE,FALSE,FALSE,274505,980332,Gulf of Alaska
Hypsagonus quadricornis,Hypsagonus quadricornis,accepted,Hypsagonus quadricornis,species,Teleostei,Perciformes,Agonidae,Hypsagonus,TRUE,FALSE,FALSE,254508,274775,Gulf of Alaska
Benthalbella dentata,Benthalbella dentata,accepted,Benthalbella dentata,species,Teleostei,Aulopiformes,Scopelarchidae,Benthalbella,TRUE,FALSE,FALSE,254572,433385,Gulf of Alaska
Apodichthys flavidus,Apodichthys flavidus,accepted,Apodichthys flavidus,species,Teleostei,Perciformes,Pholidae,Apodichthys,TRUE,FALSE,FALSE,279664,57779,Gulf of Alaska
Prionace glauca,Prionace glauca,accepted,Prionace glauca,species,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,TRUE,TRUE,FALSE,105801,7815,Gulf of Alaska
Blepsias bilobus,Blepsias bilobus,accepted,Blepsias bilobus,species,Teleostei,Perciformes,Hemitripteridae,Blepsias,TRUE,FALSE,FALSE,254540,980325,Gulf of Alaska
Merluccius productus,Merluccius productus,accepted,Merluccius productus,species,Teleostei,Gadiformes,Merlucciidae,Merluccius,TRUE,TRUE,FALSE,272458,89952,Gulf of Alaska
Nautichthys oculofasciatus,Nautichthys oculofasciatus,accepted,Nautichthys oculofasciatus,species,Teleostei,Perciformes,Hemitripteridae,Nautichthys,TRUE,FALSE,FALSE,254542,428032,Gulf of Alaska
Anoplagonus inermis,Anoplagonus inermis,accepted,Anoplagonus inermis,species,Teleostei,Perciformes,Agonidae,Anoplagonus,TRUE,FALSE,FALSE,279630,1154603,Gulf of Alaska
Esox lucius,Esox lucius,accepted,Esox lucius,species,Teleostei,Esociformes,Esocidae,Esox,FALSE,TRUE,TRUE,154210,8010,Gulf of Alaska
Crystallichthys cyclospilus,Crystallichthys cyclospilus,accepted,Crystallichthys cyclospilus,species,Teleostei,Perciformes,Liparidae,Crystallichthys,TRUE,FALSE,FALSE,280451,446810,Gulf of Alaska
Rhamphocottus richardsonii,Rhamphocottus richardsonii,accepted,Rhamphocottus richardsonii,species,Teleostei,Perciformes,Rhamphocottidae,Rhamphocottus,TRUE,FALSE,FALSE,282578,283636,Gulf of Alaska
Lycenchelys crotalinus,Lycenchelys crotalinus,accepted,Lycenchelys crotalinus,species,Teleostei,Perciformes,Zoarcidae,Lycenchelys,TRUE,FALSE,FALSE,254592,320591,Gulf of Alaska
Sebastes saxicola,Sebastes saxicola,accepted,Sebastes saxicola,species,Teleostei,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274848,72101,Gulf of Alaska
Xiphister mucosus,Xiphister mucosus,accepted,Xiphister mucosus,species,Teleostei,Perciformes,Stichaeidae,Xiphister,TRUE,FALSE,FALSE,283195,283031,Gulf of Alaska
Bothrocara brunneum,Bothrocara brunneum,accepted,Bothrocara brunneum,species,Teleostei,Perciformes,Zoarcidae,Bothrocara,TRUE,FALSE,FALSE,279397,557338,Gulf of Alaska
Coregonus clupeaformis,Coregonus clupeaformis,accepted,Coregonus clupeaformis,species,Teleostei,Salmoniformes,Salmonidae,Coregonus,FALSE,TRUE,TRUE,158726,59861,Gulf of Alaska
Eleginus gracilis,Eleginus gracilis,accepted,Eleginus gracilis,species,Teleostei,Gadiformes,Gadidae,Eleginus,TRUE,TRUE,TRUE,254537,8047,Gulf of Alaska
Blepsias cirrhosus,Blepsias cirrhosus,accepted,Blepsias cirrhosus,species,Teleostei,Perciformes,Hemitripteridae,Blepsias,TRUE,FALSE,FALSE,279417,573213,Gulf of Alaska
Enophrys diceraus,Enophrys diceraus,accepted,Enophrys diceraus,species,Teleostei,Perciformes,Cottidae,Enophrys,TRUE,FALSE,FALSE,154784,980326,Gulf of Alaska
Myoxocephalus jaok,Myoxocephalus jaok,accepted,Myoxocephalus jaok,species,Teleostei,Perciformes,Cottidae,Myoxocephalus,TRUE,FALSE,FALSE,254527,980339,Gulf of Alaska
Diaphus theta,Diaphus theta,accepted,Diaphus theta,species,Teleostei,Myctophiformes,Myctophidae,Diaphus,TRUE,FALSE,FALSE,272694,91653,Gulf of Alaska
Psychrolutes sigalutes,Psychrolutes sigalutes,accepted,Psychrolutes sigalutes,species,Teleostei,Perciformes,Psychrolutidae,Psychrolutes,TRUE,FALSE,FALSE,274679,557364,Gulf of Alaska
Lycodapus parviceps,Lycodapus parviceps,accepted,Lycodapus parviceps,species,Teleostei,Perciformes,Zoarcidae,Lycodapus,TRUE,FALSE,FALSE,279393,1772030,Gulf of Alaska
Soldatovia polyactocephala,Soldatovia polyactocephala,accepted,Soldatovia polyactocephala,species,Teleostei,Perciformes,Stichaeidae,Soldatovia,TRUE,FALSE,FALSE,282820,NA,Gulf of Alaska
Liparis dennyi,Liparis dennyi,accepted,Liparis dennyi,species,Teleostei,Perciformes,Liparidae,Liparis,TRUE,FALSE,FALSE,254550,433403,Gulf of Alaska
Pallasina barbata,Pallasina barbata,accepted,Pallasina barbata,species,Teleostei,Perciformes,Agonidae,Pallasina,TRUE,FALSE,FALSE,254396,740932,Gulf of Alaska
Cottus aleuticus,Cottus aleuticus,accepted,Cottus aleuticus,species,Teleostei,Perciformes,Cottidae,Cottus,TRUE,TRUE,TRUE,274366,214914,Gulf of Alaska
Osmerus mordax,Osmerus mordax,accepted,Osmerus mordax,species,Teleostei,Osmeriformes,Osmeridae,Osmerus,TRUE,TRUE,TRUE,126737,8014,Gulf of Alaska
Lota lota,Lota lota,accepted,Lota lota,species,Teleostei,Gadiformes,Lotidae,Lota,FALSE,TRUE,TRUE,154388,69944,Gulf of Alaska
Bathyagonus pentacanthus,Bathyagonus pentacanthus,accepted,Bathyagonus pentacanthus,species,Teleostei,Perciformes,Agonidae,Bathyagonus,TRUE,FALSE,FALSE,254506,433407,Gulf of Alaska
Oneirodes bulbosus,Oneirodes bulbosus,accepted,Oneirodes bulbosus,species,Teleostei,Lophiiformes,Oneirodidae,Oneirodes,TRUE,FALSE,FALSE,254553,1154599,Gulf of Alaska
