region_label,grp,condval,condsd,model
"San Francisco Bay, California",NC_RB,-0.359,0.684,mean
"San Francisco Bay, California",NC_PM,0.359,0.73,upwelling
"San Francisco Bay, California",NC_PS,-0.271,0.73,upwelling
"San Francisco Bay, California",NC_RB,-0.088,0.818,upwelling
"Morro Bay, California",MB_CB,-0.29,0.124,95th
"Morro Bay, California",MB_TP,0.29,0.141,95th
"Morro Bay, California",MB_CB,-0.282,0.104,75th
"Morro Bay, California",MB_TP,0.282,0.119,75th
"Morro Bay, California",MB_CB,-0.279,0.112,mean
"Morro Bay, California",MB_TP,0.279,0.127,mean
"Morro Bay, California",MB_CB,-0.298,0.097,upwelling
"Morro Bay, California",MB_TP,0.298,0.111,upwelling
"Los Angeles, California",LA_AB,-0.303,0.352,95th
"Los Angeles, California",LA_JD,0.281,0.337,95th
"Los Angeles, California",LA_LN,-0.123,0.337,95th
"Los Angeles, California",LA_MS,0.199,0.352,95th
"Los Angeles, California",LA_SP,-0.146,0.37,95th
"Los Angeles, California",LA_UN,0.092,0.337,95th
"Los Angeles, California",LA_AB,-0.27,0.346,75th
"Los Angeles, California",LA_JD,0.269,0.331,75th
"Los Angeles, California",LA_LN,-0.132,0.331,75th
"Los Angeles, California",LA_MS,0.195,0.346,75th
"Los Angeles, California",LA_SP,-0.15,0.363,75th
"Los Angeles, California",LA_UN,0.087,0.331,75th
"Los Angeles, California",LA_AB,-0.325,0.355,mean
"Los Angeles, California",LA_JD,0.296,0.339,mean
"Los Angeles, California",LA_LN,-0.03,0.339,mean
"Los Angeles, California",LA_MS,0.175,0.355,mean
"Los Angeles, California",LA_SP,-0.214,0.375,mean
"Los Angeles, California",LA_UN,0.099,0.339,mean
"Los Angeles, California",LA_AB,-0.127,0.242,upwelling
"Los Angeles, California",LA_JD,0.126,0.238,upwelling
"Los Angeles, California",LA_LN,-0.04,0.238,upwelling
"Los Angeles, California",LA_MS,0.073,0.242,upwelling
"Los Angeles, California",LA_SP,-0.069,0.248,upwelling
"Los Angeles, California",LA_UN,0.038,0.238,upwelling
"San Diego region, California",SD_CI,-0.236,0.892,95th
"San Diego region, California",SD_CV,-0.191,0.77,95th
"San Diego region, California",SD_FI,0.101,0.824,95th
"San Diego region, California",SD_KF,0.572,0.892,95th
"San Diego region, California",SD_SDL,0.879,0.892,95th
"San Diego region, California",SD_SI,-1.125,0.77,95th
"San Diego region, California",SD_CI,-0.317,0.913,75th
"San Diego region, California",SD_CV,-0.208,0.781,75th
"San Diego region, California",SD_FI,0.116,0.839,75th
"San Diego region, California",SD_KF,0.609,0.913,75th
"San Diego region, California",SD_SDL,0.971,0.913,75th
"San Diego region, California",SD_SI,-1.172,0.781,75th
"San Diego region, California",SD_CI,-0.418,0.952,mean
"San Diego region, California",SD_CV,-0.224,0.805,mean
"San Diego region, California",SD_FI,0.155,0.87,mean
"San Diego region, California",SD_KF,0.607,0.952,mean
"San Diego region, California",SD_SDL,1.138,0.952,mean
"San Diego region, California",SD_SI,-1.257,0.805,mean
"San Diego region, California",SD_CI,-0.253,0.862,upwelling
"San Diego region, California",SD_CV,-0.138,0.761,upwelling
"San Diego region, California",SD_FI,0.179,0.807,upwelling
"San Diego region, California",SD_KF,0.339,0.862,upwelling
"San Diego region, California",SD_SDL,0.812,0.862,upwelling
"San Diego region, California",SD_SI,-0.939,0.761,upwelling
