"","raw_f","raw_r"
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/20250430_PECOe-543_S1_R1_001.fastq.gz",341480,341480
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/20250430_PECOe-545_S98_R1_001.fastq.gz",7,7
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/20250430_PECOe-546_S99_R1_001.fastq.gz",806,806
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/20250430_PECOe-547_S100_R1_001.fastq.gz",430778,430778
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/20250430_PECOe-548_S101_R1_001.fastq.gz",514858,514858
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/20250430_PECOe-549_S102_R1_001.fastq.gz",475314,475314
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/20250430_PECOe-550_S103_R1_001.fastq.gz",408278,408278
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/20250430_PECOe-551_S104_R1_001.fastq.gz",26,26
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/20250430_PECOe-552_S105_R1_001.fastq.gz",541823,541823
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/20250430_PECOe-553_S106_R1_001.fastq.gz",394118,394118
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/20250430_PECOe-554_S107_R1_001.fastq.gz",397138,397138
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/20250430_PECOe-555_S108_R1_001.fastq.gz",316716,316716
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/20250430_PECOe-556_S109_R1_001.fastq.gz",3,3
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/20250430_PECOe-557_S110_R1_001.fastq.gz",563586,563586
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/20250430_PECOe-558_S111_R1_001.fastq.gz",472583,472583
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/20250430_PECOe-559_S112_R1_001.fastq.gz",353617,353617
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/20250430_PECOe-560_S113_R1_001.fastq.gz",480596,480596
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/20250430_PECOe-561_S114_R1_001.fastq.gz",2,2
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/20250430_PECOe-562_S115_R1_001.fastq.gz",581918,581918
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/20250430_PECOe-563_S116_R1_001.fastq.gz",571429,571429
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/20250430_PECOe-564_S117_R1_001.fastq.gz",617344,617344
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/20250430_PECOe-565_S118_R1_001.fastq.gz",539325,539325
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/20250430_PECOe-566_S119_R1_001.fastq.gz",184,184
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/20250430_PECOe-567_S120_R1_001.fastq.gz",535545,535545
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/20250430_PECOe-568_S121_R1_001.fastq.gz",468252,468252
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/20250430_PECOe-569_S122_R1_001.fastq.gz",373401,373401
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/20250430_PECOe-570_S123_R1_001.fastq.gz",553979,553979
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/20250430_PECOe-571_S124_R1_001.fastq.gz",41,41
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/20250430_PECOe-572_S125_R1_001.fastq.gz",187,187
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/20250430_PECOe-573_S126_R1_001.fastq.gz",391330,391330
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/20250430_PECOe-574_S127_R1_001.fastq.gz",389488,389488
