"","cutadapt_f","cutadapt_r"
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/cutadapt/20240923_PECOe-1091_S174_R1_001.fastq.gz",1304,205406
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/cutadapt/20240923_PECOe-1092_S175_R1_001.fastq.gz",205406,127411
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/cutadapt/20240923_PECOe-1093_S176_R1_001.fastq.gz",127411,246738
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/cutadapt/20240923_PECOe-1094_S177_R1_001.fastq.gz",246738,241362
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/cutadapt/20240923_PECOe-1095_S178_R1_001.fastq.gz",241362,10176
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/cutadapt/20240923_PECOe-1101_S179_R1_001.fastq.gz",10176,10833
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/cutadapt/20240923_PECOe-1102_S180_R1_001.fastq.gz",10833,10282
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/cutadapt/20240923_PECOe-1103_S181_R1_001.fastq.gz",10282,8671
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/cutadapt/20240923_PECOe-1104_S182_R1_001.fastq.gz",8671,1931
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/cutadapt/20240923_PECOe-1105_S183_R1_001.fastq.gz",1931,229744
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/cutadapt/20240923_PECOe-1106_S184_R1_001.fastq.gz",229744,233848
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/cutadapt/20240923_PECOe-1107_S185_R1_001.fastq.gz",233848,210291
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/cutadapt/20240923_PECOe-1108_S186_R1_001.fastq.gz",210291,178483
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/cutadapt/20240923_PECOe-1109_S187_R1_001.fastq.gz",178483,219091
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/cutadapt/20240923_PECOe-1110_S188_R1_001.fastq.gz",219091,206667
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/cutadapt/20240923_PECOe-1111_S189_R1_001.fastq.gz",206667,2580084
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/cutadapt/20240923_PECOe-1112_S190_R1_001.fastq.gz",2580084,237925
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/cutadapt/20240923_PECOe-1114_S325_R1_001.fastq.gz",237925,51
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/cutadapt/20240923_PECOe-1115_S193_R1_001.fastq.gz",51,272451
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/cutadapt/20240923_PECOe-1117_S195_R1_001.fastq.gz",272451,197313
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/cutadapt/20240923_PECOe-1118_S196_R1_001.fastq.gz",197313,245693
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/cutadapt/20240923_PECOe-1119_S197_R1_001.fastq.gz",245693,329793
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/cutadapt/20240923_PECOe-1120_S198_R1_001.fastq.gz",329793,4
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/cutadapt/20240923_PECOe-1121_S199_R1_001.fastq.gz",4,214368
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/cutadapt/20240923_PECOe-1122_S200_R1_001.fastq.gz",214368,297130
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/cutadapt/20240923_PECOe-1123_S201_R1_001.fastq.gz",297130,237787
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/cutadapt/20240923_PECOe-1124_S202_R1_001.fastq.gz",237787,321808
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/cutadapt/20240923_PECOe-1125_S203_R1_001.fastq.gz",321808,4
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/cutadapt/20240923_PECOe-1126_S204_R1_001.fastq.gz",4,155698
