seed_asv,motu,asv,asv_reads
ASV378,motu197,ASV1035,576
ASV378,motu197,ASV2041,7
ASV378,motu197,ASV378,11156
ASV381,motu198,ASV381,10333
ASV383,motu199,ASV383,9986
ASV384,motu200,ASV384,9888
ASV386,motu201,ASV386,9872
ASV387,motu202,ASV387,9557
ASV388,motu203,ASV388,9530
ASV389,motu204,ASV389,9511
ASV390,motu205,ASV390,9377
ASV390,motu205,ASV1465,129
ASV390,motu205,ASV390,9506
ASV397,motu206,ASV397,9115
ASV397,motu206,ASV548,3896
ASV397,motu206,ASV397,13011
ASV398,motu207,ASV398,9085
ASV399,motu208,ASV399,9054
ASV403,motu209,ASV403,8855
ASV405,motu210,ASV405,8774
ASV406,motu211,ASV406,8772
ASV408,motu212,ASV408,8708
ASV409,motu213,ASV409,8668
ASV411,motu214,ASV411,8644
ASV411,motu214,ASV1444,138
ASV411,motu214,ASV1838,27
ASV411,motu214,ASV411,8809
ASV413,motu215,ASV413,8542
ASV414,motu216,ASV414,8498
ASV414,motu216,ASV809,1294
ASV414,motu216,ASV414,9792
ASV415,motu217,ASV415,8469
ASV416,motu218,ASV416,8467
ASV418,motu219,ASV418,8418
ASV422,motu220,ASV422,8187
ASV425,motu221,ASV425,8054
ASV427,motu222,ASV427,8043
ASV428,motu223,ASV428,8007
ASV430,motu224,ASV430,7888
ASV434,motu225,ASV434,7703
ASV434,motu225,ASV683,2143
ASV434,motu225,ASV1056,542
ASV434,motu225,ASV434,10388
ASV435,motu226,ASV435,7659
ASV436,motu227,ASV436,7596
ASV436,motu227,ASV1154,395
ASV436,motu227,ASV1306,232
ASV436,motu227,ASV436,8223
ASV438,motu228,ASV438,7569
ASV438,motu228,ASV866,1011
ASV438,motu228,ASV438,8580
ASV439,motu229,ASV439,7546
ASV441,motu230,ASV441,7510
ASV444,motu231,ASV444,7172
ASV445,motu232,ASV445,7110
ASV447,motu233,ASV447,7026
ASV449,motu234,ASV449,6912
ASV450,motu235,ASV450,6801
ASV450,motu235,ASV814,1271
